Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham Verghese,"=""""","=""""",4,4.32,Random House,Kindle Edition,208,2016,2016,2017/09/12,2017/09/12,,,read,,,,1,,,0,,,,,,"2017-09-12,2017-09-12","Nonfiction|2941;Autobiography,Memoir|1643;Biography|745;Health,Medicine|398"
782151,The Motel Life,Willy Vlautin,"Vlautin, Willy",Nate Beaty,"=""0061171115""","=""9780061171116""",0,3.90,Harper Perennial,Paperback,206,2007,2006,,2017/09/01,to-read,to-read (#424),to-read,,,,0,,,0,,,,,,,"Fiction|67;Contemporary|13;American,Americana|8;Novels|6"
6713642,Lean On Pete,Willy Vlautin,"Vlautin, Willy",,"=""0061456535""","=""9780061456534""",0,4.02,Harper Perennial,Paperback,304,2010,2010,,2017/09/01,to-read,to-read (#423),to-read,,,,0,,,0,,,,,,,"Fiction|58;American,Americana|8;Young Adult,Coming Of Age|7;Novels|7;Literary Fiction|5"
2728838,Zama,Antonio Di Benedetto,"Benedetto, Antonio Di",,"=""9879396472""","=""9789879396476""",0,4.05,Adriana Hidalgo Editora,Paperback,264,2004,1956,,2017/09/01,to-read,to-read (#422),to-read,,,,0,,,0,,,,,,,"Fiction|45;European Literature,Spanish Literature|9;Literature|10"
52372,On Photography,Susan Sontag,"Sontag, Susan",,"=""0141187166""","=""9780141187167""",0,3.84,Penguin,Paperback,224,1979,1973,,2017/08/29,to-read,to-read (#421),to-read,,,,0,,,0,,,,,,,"Art,Photography|539;Nonfiction|364;Art|353;Writing,Essays|148;Philosophy|143;Philosophy,Theory|51"
2412852,"Little Red Riding Hood, Cinderella & Other Classic Fairy Tales of Charles Perrault",Angela Carter,"Carter, Angela","Charles Perrault, Jack D. Zipes","=""0143105361""","=""9780143105367""",0,3.93,Penguin Classics,Paperback,112,2008,2008,,2017/08/29,to-read,to-read (#420),to-read,,,,0,,,0,,,,,,,"Fantasy,Fairy Tales|15;Classics|15;Fantasy|11;Fiction|11;Short Stories|10;Cultural,France|5;Anthologies|4"
11991,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",0,4.05,Vintage,Paperback,147,1991,1956,,2017/08/29,to-read,to-read (#419),to-read,,,,0,,,0,,,,,,,"Fiction|1105;Philosophy|795;Classics|630;Cultural,France|402;Literature|272;European Literature,French Literature|162;Novels|150;Literature,20th Century|90;Literary Fiction|43;Nobel Prize|36"
2784,Ways of Seeing,John Berger,"Berger, John",,"=""0140135154""","=""9780140135152""",0,3.75,Penguin,Paperback,176,1990,1972,,2017/08/29,to-read,to-read (#418),to-read,,,,0,,,0,,,,,,,"Nonfiction|669;Philosophy|238;Art|191;Writing,Essays|92;Art,Art History|92;Art,Photography|87"
61672,Bonjour tristesse,Françoise Sagan,"Sagan, Françoise",,"=""2266127748""","=""9782266127745""",0,3.62,Pocket,Mass Market Paperback,153,2002,1954,,2017/08/29,to-read,to-read (#417),to-read,,,,0,,,0,,,,,,,"Fiction|403;Cultural,France|356;Classics|280;European Literature,French Literature|125"
34509980,The Sixteen Trees of the Somme,Lars Mytting,"Mytting, Lars",Paul Russell Garrett,"=""""","=""""",0,4.03,MacLehose Press,Kindle Edition,480,2017,2014,,2017/08/29,to-read,to-read (#416),to-read,,,,0,,,0,,,,,,,"Fiction|23;Novels|6;European Literature,Scandinavian Literature|6"
