Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
27003,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0142001805""","=""9780142001806""",0,3.92,Penguin Books,Paperback,374,2003,2001,,2016/04/05,to-read,to-read (#265),to-read,,,,,,,0,,,,,
76171,We,Yevgeny Zamyatin,"Zamyatin, Yevgeny","Евгений Замятин, Clarence Brown","=""0140185852""","=""9780140185850""",0,3.96,Penguin Classics,Paperback,225,1993,1924,,2016/04/04,to-read,to-read (#264),to-read,,,,,,,0,,,,,
209525,The Purple Cloud (Frontiers of Imagination),M.P. Shiel,"Shiel, M.P.",John Clute,"=""0803292791""","=""9780803292796""",0,3.54,Bison Books,Paperback,296,2000,1901,,2016/04/04,to-read,to-read (#263),to-read,,,,,,,0,,,,,
1170158,The Earthsea Trilogy,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0140050930""","=""9780140050936""",0,4.24,Penguin Books Limited,Paperback,478,1979,1975,,2016/04/04,to-read,to-read (#262),to-read,,,,,,,0,,,,,
941731,The Death of Grass,John Christopher,"Christopher, John",,"=""0722122977""","=""9780722122976""",0,3.88,Sphere (London),Paperback,222,1982,1956,,2016/04/04,to-read,to-read (#261),to-read,,,,,,,0,,,,,
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""0553380958""","=""9780553380958""",0,4.01,Bantam Books,Paperback,470,2000,1992,,2016/04/04,to-read,to-read (#260),to-read,,,,,,,0,,,,,
7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",0,4.08,Vintage Books,Paperback,204,1998,1971,,2016/04/04,to-read,to-read (#259),to-read,,,,,,,0,,,,,
166997,Stoner,John Edward Williams,"Williams, John Edward",John McGahern,"=""1590171993""","=""9781590171998""",0,4.26,NYRB Classics,Paperback,278,2006,1965,,2016/04/04,to-read,to-read (#258),to-read,,,,,,,0,,,,,
88077,The Magic Mountain,Thomas Mann,"Mann, Thomas",John E. Woods,"=""0679772871""","=""9780679772873""",0,4.13,Vintage,Paperback,706,1996,1924,,2016/04/04,to-read,to-read (#257),to-read,,,,,,,0,,,,,
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",0,3.65,Penguin Books,Paperback,307,1976,1955,,2016/04/04,to-read,to-read (#256),to-read,,,,,,,0,,,,,
394535,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""0679728759""","=""9780679728757""",0,4.19,Vintage Books,Paperback,337,1992,1985,,2016/04/04,to-read,to-read (#255),to-read,,,,,,,0,,,,,
19106,The Nose,Nikolai Gogol,"Gogol, Nikolai",Kevin Hawkes,"=""0688104649""","=""9780688104641""",0,3.93,HarperCollins Publishers,Hardcover,31,1994,1836,,2016/04/04,,,read,,,,,,,0,,,,,
28381,Dead Souls,Nikolai Gogol,"Gogol, Nikolai",Robert A. Maguire,"=""0140448071""","=""9780140448078""",0,3.98,Penguin Classics,Paperback,464,2004,1842,,2016/04/04,to-read,to-read (#254),to-read,,,,,,,0,,,,,
11650,American Pastoral (The American Trilogy #1),Philip Roth,"Roth, Philip",,"=""0099771810""","=""9780099771814""",0,3.92,Vintage,Paperback,432,1998,1997,,2016/04/04,to-read,to-read (#253),to-read,,,,,,,0,,,,,
77013,As I Lay Dying,William Faulkner,"Faulkner, William",,"=""067973225X""","=""9780679732259""",0,3.72,Vintage,Paperback,267,1991,1930,,2016/04/04,to-read,to-read (#252),to-read,,,,,,,0,,,,,
57727,"L.A. Confidential (L.A. Quartet, #3)",James Ellroy,"Ellroy, James",,"=""0099366711""","=""9780099366713""",0,4.20,Arrow,Paperback,496,1994,1990,,2016/04/04,to-read,to-read (#251),to-read,,,,,,,0,,,,,
25631481,Jeremy Hutchinson's Case Histories: From Lady Chatterley's Lover to Howard Marks,Thomas Grant,"Grant, Thomas",,"=""""","=""""",0,4.18,John Murray,Kindle Edition,432,2015,2015,,2016/04/04,to-read,to-read (#250),to-read,,,,,,,0,,,,,
12331767,High-Rise,J.G. Ballard,"Ballard, J.G.",,"=""0871404028""","=""9780871404022""",0,3.76,Liveright,Paperback,208,2012,1975,,2016/04/04,to-read,to-read (#249),to-read,,,,,,,0,,,,,
25912206,The Noise of Time,Julian Barnes,"Barnes, Julian",,"=""1910702609""","=""9781910702604""",0,3.74,Jonathan Cape,Hardcover,180,2016,2016,,2016/04/04,to-read,to-read (#248),to-read,,,,,,,0,,,,,
17800,"Dance Dance Dance (The Rat, #4)",Haruki Murakami,"Murakami, Haruki",,"=""0099448769""","=""9780099448761""",0,4.02,Vintage,Paperback,393,2002,1988,,2016/04/04,to-read,to-read (#247),to-read,,,,,,,0,,,,,
226973,"Hear the Wind Sing (The Rat, #1)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""4061860267""","=""9784061860261""",0,3.60,Kodansha International Ltd.,Paperback,130,1979,1979,,2016/04/04,to-read,to-read (#246),to-read,,,,,,,0,,,,,
591978,"Pinball, 1973 (The Rat, #2)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""4061860127""","=""9784061860124""",0,3.61,Kodansha International Ltd.,Paperback,215,1980,1980,,2016/04/04,to-read,to-read (#245),to-read,,,,,,,0,,,,,
17799,"South of the Border, West of the Sun",Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0099448572""","=""9780099448570""",0,3.87,Vintage,Paperback,190,2006,1992,,2016/04/04,to-read,to-read (#244),to-read,,,,,,,0,,,,,
11298,"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""037571894X""","=""9780375718946""",0,3.94,Vintage,Paperback,353,2002,1982,,2016/04/04,to-read,to-read (#243),to-read,,,,,,,0,,,,,
11692,The Black Book,Orhan Pamuk,"Pamuk, Orhan",Maureen Freely,"=""1400078652""","=""9781400078653""",0,3.87,Vintage,Paperback,466,2006,1990,,2016/04/04,to-read,to-read (#242),to-read,,,,,,,0,,,,,
2517,My Name is Red,Orhan Pamuk,"Pamuk, Orhan",Erdağ M. Göknar,"=""0375706852""","=""9780375706851""",0,3.81,Vintage,Paperback,417,2002,1998,,2016/04/04,to-read,to-read (#241),to-read,,,,,,,0,,,,,
28920,A Pale View of Hills,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0571225373""","=""9780571225378""",0,3.69,Faber and Faber,Paperback,183,2005,1982,,2016/03/25,to-read,to-read (#240),to-read,,,,,,,0,,,,,
11334,Song of Solomon,Toni Morrison,"Morrison, Toni",,"=""140003342X""","=""9781400033423""",0,3.98,Vintage,Paperback,337,2004,1977,,2016/03/25,to-read,to-read (#239),to-read,,,,,,,0,,,,,
6192,Disgrace,J.M. Coetzee,"Coetzee, J.M.",,"=""0143036378""","=""9780143036371""",0,3.83,Penguin Books,Paperback,220,2005,1999,,2016/03/25,to-read,to-read (#238),to-read,,,,,,,0,,,,,
24994837,La Fin des temps,Haruki Murakami,"Murakami, Haruki",,"=""2757837052""","=""9782757837054""",0,4.15,Seuil,Mass Market Paperback,629,1992,1985,,2016/03/21,to-read,to-read (#237),to-read,,,,,,,0,,,,,
27821516,L'Étrange Bibliothèque,Haruki Murakami,"Murakami, Haruki","Kat Menschik, Hélène Morita","=""2714459552""","=""9782714459558""",0,3.56,Belfond,Paperback,72,2015,2005,,2016/03/21,to-read,to-read (#236),to-read,,,,,,,0,,,,,
589979,"Daughter of the Empire (The Empire Trilogy, #1)",Raymond E. Feist,"Feist, Raymond E.",Janny Wurts,"=""055327211X""","=""9780553272116""",0,4.22,Spectra,Mass Market Paperback,421,1988,1987,,2016/03/21,to-read,to-read (#235),to-read,,,,,,,0,,,,,
13812,"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,"Feist, Raymond E.",,"=""0553564943""","=""9780553564945""",0,4.17,Bantam Spectra,Mass Market Paperback,485,1994,1982,,2016/03/21,to-read,to-read (#234),to-read,,,,,,,0,,,,,
123471,I Am a Strange Loop,Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465030785""","=""9780465030781""",0,3.91,Basic Books,Hardcover,436,2007,2007,,2016/03/21,to-read,to-read (#233),to-read,,,,,,,0,,,,,
26352722,Que Ma Joie Demeure,Jean Giono,"Giono, Jean",,"=""2246123798""","=""9782246123798""",0,5.00,Grasset,ebook,490,2011,2011,,2016/03/09,to-read,to-read (#232),to-read,,,,,,,0,,,,,
1514057,Un roi sans divertissement,Jean Giono,"Giono, Jean",,"=""2070362205""","=""9782070362202""",0,3.66,Editions Gallimard,Mass Market Paperback,244,2004,1947,,2016/03/09,to-read,to-read (#231),to-read,,,,,,,0,,,,,
2939995,Two Riders of the Storm,Jean Giono,"Giono, Jean",Alan Brown,"=""0720611598""","=""9780720611595""",0,3.50,Peter Owen Publishers,Paperback,200,2002,1972,,2016/03/09,to-read,to-read (#230),to-read,,,,,,,0,,,,,
